Unnamed: 0,trans_date_trans_time,cc_num,merchant,category,amt,first,last,gender,street,city,state,zip,lat,long,city_pop,job,dob,trans_num,unix_time,merch_lat,merch_long,is_fraud
538471,2020-12-28 08:16:01,2305336922781618,fraud_Kutch LLC,gas_transport,57.32,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,05c626b143ac44baaf6116130044440b,1388218561,41.373937,-92.644546,0
309991,2020-10-17 03:25:17,378904938837132,"fraud_Ferry, Lynch and Kautzer",misc_net,759.5,Tina,Zimmerman,F,3595 Susan Island Suite 063,Thomas,OK,73669,35.7382,-98.7388,1675,Barrister,1986-05-01,8c12434a87697413c258e2b7f5ba65ce,1381980317,35.574699,-98.030415,1
282284,2020-10-04 22:45:11,4926376199189801,fraud_Will Ltd,food_dining,51.1,Claire,Davis,F,83685 Matthew Center Suite 870,Cherokee Village,AR,72529,36.3011,-91.5281,4726,Pharmacologist,1977-06-07,3a3eeaf9766340719cfe96faecc2f29d,1380926711,36.259143,-91.14855,0
241342,2020-09-16 08:57:20,3530503964418806,"fraud_Heller, Gutmann and Zieme",grocery_pos,277.62,David,Nichols,M,0638 Fred Ramp Suite 086,Palmdale,CA,93552,34.5715,-118.0231,171170,Chemical engineer,1963-06-04,11f32237c017fe2f34b1011f98ec6158,1379321840,35.431109,-117.100512,1
113580,2020-07-30 23:38:50,4.35230715155541E+018,fraud_Macejkovic-Lesch,shopping_pos,975.25,Joseph,Bartlett,M,610 Pacheco Parkway,Falls Church,VA,22046,38.8856,-77.1802,116155,Armed forces training and education officer,1932-05-09,135d392c8bd3fbe6198116d7dd00726f,1375227530,38.385786,-77.238447,1
112899,2020-07-30 17:02:31,4328928491302401,fraud_Gerlach Inc,shopping_net,5.29,Margaret,Ray,F,927 Cummings Manor Suite 318,Greendale,WI,53129,42.9373,-87.9943,13973,Logistics and distribution manager,1981-05-06,cb5f2a797953eb594a08c7970e9fa1b9,1375203751,43.325227,-87.427594,0
103878,2020-07-27 14:22:13,4464457352619,"fraud_Zboncak, Rowe and Murazik",shopping_net,106.84,Breanna,Rodriguez,F,118 Cabrera Springs Apt. 105,Lanark Village,FL,32323,29.8826,-84.5964,217,Television production assistant,1990-01-24,22c7f1b2ac7500048ca36d75817a6d36,1374934933,30.853252,-85.114604,0
60228,2020-07-12 12:28:46,501882822387,"fraud_Gottlieb, Considine and Schultz",shopping_net,959.71,Melissa,Phillips,F,5069 Scott Pass Apt. 654,Meadville,MS,39653,31.4285,-90.8578,2799,"Therapist, horticultural",1961-01-21,df86ac7e629a9c2d1f5023a71314ae10,1373632126,30.600768,-91.329178,1
327231,2020-10-24 20:34:24,4883407061576,fraud_Boyer PLC,shopping_net,1041.54,Rachel,Williams,F,6386 Bailey Hill Apt. 421,Seattle,WA,98118,47.5412,-122.275,837792,Systems developer,1936-12-23,982311611279f5d34b3b9b30004c6371,1382646864,48.287785,-121.801913,1
429683,2020-12-04 08:31:31,4979422371139333,fraud_Friesen-D'Amore,gas_transport,56.62,Kelly,Zimmerman,F,1893 Katie Tunnel,Westerville,NE,68881,41.4193,-99.3844,73,Product designer,1935-02-10,375b1bd21097e91f3f567c698ffc1e2f,1386145891,41.705574,-99.19102,0
56745,2020-07-11 03:58:59,38544312728630,fraud_Friesen Inc,shopping_pos,730.65,Veronica,Burton,F,08932 Bonnie Stravenue,Bonita Springs,FL,34135,26.3771,-81.7334,51427,Claims inspector/assessor,1991-08-21,0a08fed1b670277ce0e1aed3b79ea03b,1373515139,26.283094,-81.310425,1
153255,2020-08-13 22:13:00,3583793405872580,fraud_Ratke and Sons,health_fitness,18.26,Beth,Lambert,F,6447 Johnson Estates Apt. 986,Roosevelt,OK,73564,34.847,-98.9836,551,Amenity horticulturist,1970-09-27,3224e13b1c93e12930d5e0a96bb745d8,1376431980,34.816305,-98.054499,1
150104,2020-08-12 09:46:46,4.79729722094847E+018,fraud_Kilback LLC,grocery_pos,128.62,Erica,Briggs,F,3310 Davidson Spurs Apt. 107,Oolitic,IN,47451,38.8938,-86.5246,1228,Counsellor,1991-03-13,20f2649c79cea2ff31c5adc984c9ecd2,1376300806,38.580368,-87.169739,0
327451,2020-10-24 23:12:19,4740713119940984,"fraud_Mosciski, Ziemann and Farrell",shopping_net,826.38,Heather,Hines,F,13776 Hicks Plains,Pomona,NY,10970,41.1901,-74.0436,9993,Pensions consultant,1962-10-16,60921c4df6ac4e5a47f281ef545a6500,1382656339,42.185839,-74.193148,1
193080,2020-08-28 05:25:15,30434173205605,fraud_McDermott-Weimann,grocery_pos,123.21,Kylie,Kirby,F,79816 Jackson Squares,Shedd,OR,97377,44.453,-123.1065,917,Radio broadcast assistant,1995-07-08,62cccf8fba235a77847d8f26d2c60d59,1377667515,45.127014,-123.892145,0
24727,2020-06-29 17:01:25,4.85548815813169E+018,"fraud_Feil, Hilpert and Koss",food_dining,54.61,Jeremy,Roberson,M,25887 Martin Inlet,Graniteville,VT,5654,44.1554,-72.4847,970,Agricultural consultant,1993-09-29,3368dcf0354fab069230e085835653b8,1372525285,44.391451,-72.747045,0
390035,2020-11-21 08:17:03,4306586894261180,fraud_Conroy-Cruickshank,gas_transport,69.71,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",1959-10-19,aa2e3694b0340f48a1c285d5d8e1712c,1385021823,40.108224,-88.038716,0
309661,2020-10-16 22:31:03,4306586894261180,"fraud_Schmeler, Bashirian and Price",shopping_net,891.36,Renee,Walls,F,86542 Jessica Fords Apt. 706,Veedersburg,IN,47987,40.1186,-87.2602,4049,"Development worker, community",1959-10-19,0f5258ac0127d104640c98ad7b2c0d42,1381962663,39.910453,-86.66265,1
242697,2020-09-17 06:06:13,377113842678100,fraud_Heidenreich PLC,grocery_pos,133.73,Billy,Gallagher,M,673 Delgado Burg,Greenwich,NJ,8323,39.4055,-75.3209,804,Insurance risk surveyor,1965-03-25,892a1efc169a47a3d29a8a92b1ce4d38,1379397973,38.727278,-75.201746,0
161589,2020-08-17 03:09:08,3519232971341141,fraud_Sawayn PLC,shopping_pos,5.43,Michael,Jones,M,754 Smith Isle,Amsterdam,OH,43903,40.4731,-80.9596,2208,Mental health nurse,1961-09-10,83dc35c56fbdc16b4a745c631bbb3b79,1376708948,40.665001,-81.1815,0
234664,2020-09-14 01:11:49,3565423334076143,fraud_Effertz LLC,entertainment,40.61,Nathan,Thomas,M,4923 Campbell Pines Suite 717,Carlisle,IN,47838,38.9763,-87.3667,4081,Energy engineer,1938-03-15,140da2f474d5f6838ab4c97b74f25cda,1379121109,39.793976,-87.46206,0
309499,2020-10-16 20:56:15,3560797065840735,"fraud_Reichert, Huels and Hoppe",shopping_net,3.52,Janet,Turner,F,0925 Lang Extensions,Shields,ND,58569,46.1838,-101.2589,77,Film/video editor,1989-12-17,1ee12f5264f95e7f85882a15ea62152b,1381956975,46.763946,-101.66285,0
167722,2020-08-18 17:36:15,30234966027947,fraud_Hamill-D'Amore,health_fitness,172.05,Matthew,Lambert,M,7188 Melissa Crest Apt. 151,New Holstein,WI,53061,43.9446,-88.0911,5196,Child psychotherapist,1978-01-22,b1167f73e4d491f897683b3fee3c0e05,1376847375,43.971408,-88.272556,0
367780,2020-11-10 18:29:25,30029052116970,"fraud_Mosciski, Ziemann and Farrell",shopping_net,2.07,Curtis,Young,M,4319 Watson Shoals Suite 658,Falconer,NY,14733,42.1239,-79.1895,3833,Metallurgist,1970-10-09,2983ccc382a5a255a7140e51248cfdd2,1384108165,42.722431,-79.36235,0
26379,2020-06-30 01:32:44,4.76140381754668E+018,fraud_Kerluke PLC,misc_net,795.07,Diana,Jacobs,F,69608 Perez Mountain Apt. 006,Viola,AR,72583,36.3924,-91.9932,1679,Psychiatric nurse,1986-05-02,72613d844481e8c44ac275c685bff23f,1372555964,36.52083,-92.26128,1
149843,2020-08-12 05:09:15,4764202053279782,fraud_Huels-Hahn,gas_transport,79.72,Derek,Jones,M,198 Candace Plaza,Diamond,OH,44412,41.0935,-81.0425,2644,Air cabin crew,1981-01-06,a2d580641e29bd1633348ee2fd1c2d0b,1376284155,41.719854,-80.521191,0
232437,2020-09-13 07:56:03,30082025922891,fraud_Powlowski-Weimann,food_dining,58.67,Kathleen,Thompson,F,199 Patterson Fords Apt. 132,Naples,FL,34112,26.1184,-81.7361,276002,"Pilot, airline",1934-06-23,ceb318ab60500e59dbdcd6542d987d3a,1379058963,25.804548,-81.967435,0
323962,2020-10-23 02:33:46,4481131401752,fraud_McDermott-Weimann,grocery_pos,287.69,Frank,Foster,M,37910 Ward Lights,Shrewsbury,MA,1545,42.2848,-71.7205,35299,English as a second language teacher,1975-04-30,8b21c054a07b0374605496c6217b81bf,1382495626,41.367788,-70.777982,1
192590,2020-08-27 23:26:07,6011104316292105,fraud_Leannon-Ward,food_dining,126.48,Valerie,Davis,F,3861 Anderson Ramp Apt. 536,Drakes Branch,VA,23937,36.9688,-78.5615,1970,Energy engineer,1985-09-02,ddbbd5f7cd7c6f0a0740e7b982091b96,1377645967,37.26503,-78.412371,1
112729,2020-07-30 15:09:36,2305336922781618,fraud_Jakubowski Group,food_dining,43.81,Jeffrey,Rice,M,21447 Powell Circle,Moulton,IA,52572,40.6866,-92.6833,1132,Probation officer,1961-02-14,f5d4c14f8730696c985e7f59d6a09665,1375196976,40.240938,-91.936565,0
289600,2020-10-07 16:00:51,6011329966782895,"fraud_Swaniawski, Nitzsche and Welch",health_fitness,146.55,Lauren,Butler,F,030 Seth Divide Suite 355,Tulsa,OK,74131,36.0557,-96.0602,413574,"Teacher, special educational needs",1971-09-01,9045968ab28dfe9e477a5f05c4a717e4,1381161651,35.769192,-95.630439,0
106455,2020-07-28 04:37:37,6547670341037171,fraud_Sporer Inc,gas_transport,43.6,Bryce,Joseph,M,148 Baker Field,Chester Heights,PA,19017,39.8839,-75.4669,348,Management consultant,1945-05-05,69a3923a5bd18589697bf95c54ed4797,1374986257,38.8981,-75.667275,0
518353,2020-12-23 05:10:06,4099707841315751,"fraud_Ferry, Lynch and Kautzer",misc_net,1.15,James,Stephens,M,1166 Castillo Mountains,Ruckersville,VA,22968,38.2586,-78.4074,9815,"Designer, ceramics/pottery",1975-07-07,7d897d2ed908967e6b7ca3434a9cee5c,1387775406,38.653828,-79.244029,0
224319,2020-09-08 22:28:33,4623560839669,"fraud_Moen, Reinger and Murphy",grocery_pos,351.27,Vincent,Waller,M,9379 Vanessa Run Apt. 400,Lohrville,IA,51453,42.2619,-94.5566,695,Administrator,1954-07-15,94f08102924302fd89514cfc09749f5a,1378679313,43.083499,-94.883918,1
29896,2020-06-30 23:16:40,571844099986,"fraud_Haley, Jewess and Bechtelar",shopping_pos,917.97,Susan,Mills,F,005 Cody Estates,Louisville,KY,40202,38.2507,-85.7476,736284,Engineering geologist,1952-04-02,6736d580fbae1911b7f3117b1daedbc7,1372634200,37.6226,-85.912793,1
325979,2020-10-24 03:54:09,2256234701263057,fraud_Botsford Ltd,shopping_pos,2507.65,Christopher,Grimes,M,39631 Dunn Radial,Grantham,NH,3753,43.5103,-72.1334,2971,Charity fundraiser,1948-04-11,15244b2e0cb9196ec8d859c157016f26,1382586849,42.785321,-72.72381,0
